Jun 03 17:49:09 ip-172-31-28-142 kubelet[4413]: I0603 17:49:09.541085    4413 kuberuntime_manager.go:782] Determined the ip [100.126.0.5] for pod "acmeair-flightservice-76d48bfb54-jdnrw_default(7af3d611-635a-4114-b2c3-d44231751940)" after sandbox changed
Jun 03 17:49:09 ip-172-31-28-142 kubelet[4413]: I0603 17:49:09.575035    4413 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-xp7wh" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:49:09 ip-172-31-28-142 kubelet[4413]: I0603 17:49:09.747212    4413 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-zjghg" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:49:09 ip-172-31-28-142 kubelet[4413]: I0603 17:49:09.747235    4413 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-jdnrw" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:51:00 ip-172-31-18-222 kubelet[4429]: I0603 17:51:00.276505    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-d9x7h_default(2790ecd3-a8fb-4fd0-89cd-acc190f04220)"
Jun 03 17:51:00 ip-172-31-18-222 kubelet[4429]: I0603 17:51:00.344754    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-5x49m_default(65a556b6-a0a9-4c8b-a1c2-534b0eefc9c8)"
Jun 03 17:51:00 ip-172-31-18-222 kubelet[4429]: I0603 17:51:00.368564    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-sp5pn_default(31231816-d9be-4e28-a9e9-795e157f8d75)"
Jun 03 17:51:00 ip-172-31-18-222 kubelet[4429]: I0603 17:51:00.415814    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-wpvgj_default(38eeb9df-cf51-4191-b7c1-3111e66c448f)"
Jun 03 17:51:02 ip-172-31-18-222 kubelet[4429]: I0603 17:51:02.562726    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-5x49m_default"
Jun 03 17:51:02 ip-172-31-18-222 kubelet[4429]: I0603 17:51:02.595641    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-d9x7h_default"
Jun 03 17:51:02 ip-172-31-18-222 kubelet[4429]: I0603 17:51:02.725904    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-sp5pn_default"
Jun 03 17:51:02 ip-172-31-18-222 kubelet[4429]: I0603 17:51:02.739572    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-wpvgj_default"
Jun 03 17:51:02 ip-172-31-18-222 kubelet[4429]: I0603 17:51:02.902183    4429 kuberuntime_manager.go:782] Determined the ip [100.104.0.1] for pod "acmeair-flightservice-76d48bfb54-5x49m_default(65a556b6-a0a9-4c8b-a1c2-534b0eefc9c8)" after sandbox changed
Jun 03 17:51:02 ip-172-31-18-222 kubelet[4429]: I0603 17:51:02.902903    4429 kuberuntime_manager.go:782] Determined the ip [100.104.0.2] for pod "acmeair-flightservice-76d48bfb54-d9x7h_default(2790ecd3-a8fb-4fd0-89cd-acc190f04220)" after sandbox changed
Jun 03 17:51:02 ip-172-31-18-222 kubelet[4429]: I0603 17:51:02.951149    4429 kuberuntime_manager.go:782] Determined the ip [100.104.0.3] for pod "acmeair-flightservice-76d48bfb54-sp5pn_default(31231816-d9be-4e28-a9e9-795e157f8d75)" after sandbox changed
Jun 03 17:51:03 ip-172-31-18-222 kubelet[4429]: I0603 17:51:03.013665    4429 kuberuntime_manager.go:782] Determined the ip [100.104.0.4] for pod "acmeair-flightservice-76d48bfb54-wpvgj_default(38eeb9df-cf51-4191-b7c1-3111e66c448f)" after sandbox changed
Jun 03 17:51:03 ip-172-31-18-222 kubelet[4429]: I0603 17:51:03.145923    4429 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-d9x7h" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:51:03 ip-172-31-18-222 kubelet[4429]: I0603 17:51:03.150736    4429 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-5x49m" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:51:03 ip-172-31-18-222 kubelet[4429]: I0603 17:51:03.283507    4429 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-sp5pn" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:51:03 ip-172-31-18-222 kubelet[4429]: I0603 17:51:03.295624    4429 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-wpvgj" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:51:00 ip-172-31-26-49 kubelet[4412]: I0603 17:51:00.315112    4412 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-zs5qq_default(7f10075b-3744-479c-adef-715939715d60)"
Jun 03 17:51:00 ip-172-31-26-49 kubelet[4412]: I0603 17:51:00.369717    4412 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-qcqps_default(c417c6a6-65d6-4198-8b07-33981675a0f4)"
Jun 03 17:51:00 ip-172-31-26-49 kubelet[4412]: I0603 17:51:00.386805    4412 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-vn59p_default(1f34fed3-b524-4391-b434-05094fcdb519)"
Jun 03 17:51:02 ip-172-31-26-49 kubelet[4412]: I0603 17:51:02.669437    4412 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-zs5qq_default"
Jun 03 17:51:02 ip-172-31-26-49 kubelet[4412]: I0603 17:51:02.681923    4412 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-qcqps_default"
Jun 03 17:51:02 ip-172-31-26-49 kubelet[4412]: I0603 17:51:02.707320    4412 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-vn59p_default"
Jun 03 17:51:02 ip-172-31-26-49 kubelet[4412]: I0603 17:51:02.962961    4412 kuberuntime_manager.go:782] Determined the ip [100.120.0.4] for pod "acmeair-flightservice-76d48bfb54-qcqps_default(c417c6a6-65d6-4198-8b07-33981675a0f4)" after sandbox changed
Jun 03 17:51:03 ip-172-31-26-49 kubelet[4412]: I0603 17:51:03.012629    4412 kuberuntime_manager.go:782] Determined the ip [100.120.0.3] for pod "acmeair-flightservice-76d48bfb54-zs5qq_default(7f10075b-3744-479c-adef-715939715d60)" after sandbox changed
Jun 03 17:51:03 ip-172-31-26-49 kubelet[4412]: I0603 17:51:03.021612    4412 kuberuntime_manager.go:782] Determined the ip [100.120.0.5] for pod "acmeair-flightservice-76d48bfb54-vn59p_default(1f34fed3-b524-4391-b434-05094fcdb519)" after sandbox changed
Jun 03 17:51:03 ip-172-31-26-49 kubelet[4412]: I0603 17:51:03.276984    4412 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-qcqps" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:51:03 ip-172-31-26-49 kubelet[4412]: I0603 17:51:03.283562    4412 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-zs5qq" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:51:03 ip-172-31-26-49 kubelet[4412]: I0603 17:51:03.290059    4412 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-vn59p" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:51:00 ip-172-31-28-142 kubelet[4413]: I0603 17:51:00.301381    4413 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-qdrvh_default(9bc2d8ea-b0d5-4cd9-bcb6-bd5c7cb9f077)"
Jun 03 17:51:00 ip-172-31-28-142 kubelet[4413]: I0603 17:51:00.334200    4413 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-c96l7_default(46e93824-0ec1-4b54-b175-9f6f9b0f83b6)"
Jun 03 17:51:00 ip-172-31-28-142 kubelet[4413]: I0603 17:51:00.385494    4413 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-4fbdd_default(4e262289-e0ef-40cc-af49-65cb7ac792d8)"
Jun 03 17:51:01 ip-172-31-28-142 kubelet[4413]: I0603 17:51:01.132576    4413 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-qdrvh_default"
Jun 03 17:51:01 ip-172-31-28-142 kubelet[4413]: I0603 17:51:01.153666    4413 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-4fbdd_default"
Jun 03 17:51:01 ip-172-31-28-142 kubelet[4413]: I0603 17:51:01.174848    4413 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-c96l7_default"
Jun 03 17:51:01 ip-172-31-28-142 kubelet[4413]: I0603 17:51:01.404191    4413 kuberuntime_manager.go:782] Determined the ip [100.126.0.3] for pod "acmeair-flightservice-76d48bfb54-qdrvh_default(9bc2d8ea-b0d5-4cd9-bcb6-bd5c7cb9f077)" after sandbox changed
Jun 03 17:51:01 ip-172-31-28-142 kubelet[4413]: I0603 17:51:01.443837    4413 kuberuntime_manager.go:782] Determined the ip [100.126.0.4] for pod "acmeair-flightservice-76d48bfb54-4fbdd_default(4e262289-e0ef-40cc-af49-65cb7ac792d8)" after sandbox changed
Jun 03 17:51:01 ip-172-31-28-142 kubelet[4413]: I0603 17:51:01.483469    4413 kuberuntime_manager.go:782] Determined the ip [100.126.0.5] for pod "acmeair-flightservice-76d48bfb54-c96l7_default(46e93824-0ec1-4b54-b175-9f6f9b0f83b6)" after sandbox changed
Jun 03 17:51:01 ip-172-31-28-142 kubelet[4413]: I0603 17:51:01.628360    4413 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-qdrvh" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:51:01 ip-172-31-28-142 kubelet[4413]: I0603 17:51:01.659007    4413 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-4fbdd" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:51:01 ip-172-31-28-142 kubelet[4413]: I0603 17:51:01.707189    4413 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-c96l7" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:52:36 ip-172-31-18-222 kubelet[4429]: I0603 17:52:36.694573    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-t9m57_default(e5438170-31f1-4772-96ac-7e766224132f)"
Jun 03 17:52:36 ip-172-31-18-222 kubelet[4429]: I0603 17:52:36.760537    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-xhbpq_default(7738a05f-9c2a-47ad-be8c-0a6abd1b3cb7)"
Jun 03 17:52:36 ip-172-31-18-222 kubelet[4429]: I0603 17:52:36.803893    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-gzdxn_default(2021570e-d9aa-4ede-83df-3ac0478075c6)"
Jun 03 17:52:36 ip-172-31-18-222 kubelet[4429]: I0603 17:52:36.840076    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-fvt8z_default(69fbdc68-9c00-48a0-a4d2-7de21c00a635)"
Jun 03 17:52:37 ip-172-31-18-222 kubelet[4429]: I0603 17:52:37.484112    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-xhbpq_default"
Jun 03 17:52:37 ip-172-31-18-222 kubelet[4429]: I0603 17:52:37.526862    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-gzdxn_default"
Jun 03 17:52:37 ip-172-31-18-222 kubelet[4429]: I0603 17:52:37.563230    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-t9m57_default"
Jun 03 17:52:37 ip-172-31-18-222 kubelet[4429]: I0603 17:52:37.607063    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-fvt8z_default"
Jun 03 17:52:37 ip-172-31-18-222 kubelet[4429]: I0603 17:52:37.798890    4429 kuberuntime_manager.go:782] Determined the ip [100.104.0.1] for pod "acmeair-flightservice-76d48bfb54-xhbpq_default(7738a05f-9c2a-47ad-be8c-0a6abd1b3cb7)" after sandbox changed
Jun 03 17:52:37 ip-172-31-18-222 kubelet[4429]: I0603 17:52:37.824386    4429 kuberuntime_manager.go:782] Determined the ip [100.104.0.2] for pod "acmeair-flightservice-76d48bfb54-gzdxn_default(2021570e-d9aa-4ede-83df-3ac0478075c6)" after sandbox changed
Jun 03 17:52:37 ip-172-31-18-222 kubelet[4429]: I0603 17:52:37.913083    4429 kuberuntime_manager.go:782] Determined the ip [100.104.0.3] for pod "acmeair-flightservice-76d48bfb54-t9m57_default(e5438170-31f1-4772-96ac-7e766224132f)" after sandbox changed
Jun 03 17:52:37 ip-172-31-18-222 kubelet[4429]: I0603 17:52:37.941756    4429 kuberuntime_manager.go:782] Determined the ip [100.104.0.4] for pod "acmeair-flightservice-76d48bfb54-fvt8z_default(69fbdc68-9c00-48a0-a4d2-7de21c00a635)" after sandbox changed
Jun 03 17:52:37 ip-172-31-18-222 kubelet[4429]: I0603 17:52:37.993939    4429 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-gzdxn" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:52:38 ip-172-31-18-222 kubelet[4429]: I0603 17:52:38.043979    4429 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-xhbpq" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:52:38 ip-172-31-18-222 kubelet[4429]: I0603 17:52:38.200544    4429 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-fvt8z" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:52:38 ip-172-31-18-222 kubelet[4429]: I0603 17:52:38.233223    4429 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-t9m57" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:52:36 ip-172-31-26-49 kubelet[4412]: I0603 17:52:36.739727    4412 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-s927l_default(e4641049-3491-45e1-afc8-7135c95e1af4)"
Jun 03 17:52:36 ip-172-31-26-49 kubelet[4412]: I0603 17:52:36.769812    4412 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-727g5_default(e26ce3bb-0799-41d6-8cdf-8c9f5523bb11)"
Jun 03 17:52:36 ip-172-31-26-49 kubelet[4412]: I0603 17:52:36.803480    4412 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-24mnc_default(2eceb1ca-dac0-48cf-91a8-206151c10569)"
Jun 03 17:52:38 ip-172-31-26-49 kubelet[4412]: I0603 17:52:38.291858    4412 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-24mnc_default"
Jun 03 17:52:38 ip-172-31-26-49 kubelet[4412]: I0603 17:52:38.498976    4412 kuberuntime_manager.go:782] Determined the ip [100.120.0.3] for pod "acmeair-flightservice-76d48bfb54-24mnc_default(2eceb1ca-dac0-48cf-91a8-206151c10569)" after sandbox changed
Jun 03 17:52:38 ip-172-31-26-49 kubelet[4412]: I0603 17:52:38.762034    4412 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-24mnc" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:52:39 ip-172-31-26-49 kubelet[4412]: I0603 17:52:39.138032    4412 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-727g5_default"
Jun 03 17:52:39 ip-172-31-26-49 kubelet[4412]: I0603 17:52:39.179725    4412 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-s927l_default"
Jun 03 17:52:39 ip-172-31-26-49 kubelet[4412]: I0603 17:52:39.428151    4412 kuberuntime_manager.go:782] Determined the ip [100.120.0.4] for pod "acmeair-flightservice-76d48bfb54-727g5_default(e26ce3bb-0799-41d6-8cdf-8c9f5523bb11)" after sandbox changed
Jun 03 17:52:39 ip-172-31-26-49 kubelet[4412]: I0603 17:52:39.479970    4412 kuberuntime_manager.go:782] Determined the ip [100.120.0.5] for pod "acmeair-flightservice-76d48bfb54-s927l_default(e4641049-3491-45e1-afc8-7135c95e1af4)" after sandbox changed
Jun 03 17:52:39 ip-172-31-26-49 kubelet[4412]: I0603 17:52:39.651294    4412 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-s927l" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:52:39 ip-172-31-26-49 kubelet[4412]: I0603 17:52:39.661975    4412 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-727g5" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:52:36 ip-172-31-28-142 kubelet[4413]: I0603 17:52:36.719841    4413 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-dsmw5_default(960031f7-d3ca-4871-9f04-141c72b5216e)"
