Jun 03 15:02:14 ip-172-31-17-97 kubelet[4436]: I0603 15:02:14.988592    4436 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-95f5s_default(7607caf4-3d75-451a-be76-f5f190cc9b11)"
Jun 03 15:02:15 ip-172-31-17-97 kubelet[4436]: I0603 15:02:15.016957    4436 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-xngh4_default(c6827cd2-5542-44ae-a102-6eac37e5c0a2)"
Jun 03 15:02:15 ip-172-31-17-97 kubelet[4436]: I0603 15:02:15.710436    4436 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-bjfhd_default"
Jun 03 15:02:15 ip-172-31-17-97 kubelet[4436]: I0603 15:02:15.769787    4436 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-95f5s_default"
Jun 03 15:02:15 ip-172-31-17-97 kubelet[4436]: I0603 15:02:15.805405    4436 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-xngh4_default"
Jun 03 15:02:15 ip-172-31-17-97 kubelet[4436]: I0603 15:02:15.825957    4436 kuberuntime_manager.go:782] Determined the ip [100.96.1.10] for pod "acmeair-flightservice-76d48bfb54-bjfhd_default(ca6f37a3-6fac-4e1a-b861-c2873b4be55c)" after sandbox changed
Jun 03 15:02:15 ip-172-31-17-97 kubelet[4436]: I0603 15:02:15.877594    4436 kuberuntime_manager.go:782] Determined the ip [100.96.1.11] for pod "acmeair-flightservice-76d48bfb54-95f5s_default(7607caf4-3d75-451a-be76-f5f190cc9b11)" after sandbox changed
Jun 03 15:02:15 ip-172-31-17-97 kubelet[4436]: I0603 15:02:15.924219    4436 kuberuntime_manager.go:782] Determined the ip [100.96.1.12] for pod "acmeair-flightservice-76d48bfb54-xngh4_default(c6827cd2-5542-44ae-a102-6eac37e5c0a2)" after sandbox changed
Jun 03 15:02:16 ip-172-31-17-97 kubelet[4436]: I0603 15:02:16.056295    4436 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-bjfhd" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:02:16 ip-172-31-17-97 kubelet[4436]: I0603 15:02:16.109453    4436 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-95f5s" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:02:16 ip-172-31-17-97 kubelet[4436]: I0603 15:02:16.169564    4436 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-xngh4" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:02:14 ip-172-31-21-16 kubelet[4419]: I0603 15:02:14.924415    4419 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-5fndh_default(f8c53cb2-44fc-4576-abea-bbe62b5a9b10)"
Jun 03 15:02:14 ip-172-31-21-16 kubelet[4419]: I0603 15:02:14.981083    4419 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-mtmvz_default(262539fc-5297-4263-91d0-db52b34d2109)"
Jun 03 15:02:14 ip-172-31-21-16 kubelet[4419]: I0603 15:02:14.994845    4419 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-cqd8g_default(0df77a12-2f41-4776-bedd-920280d8c859)"
Jun 03 15:02:15 ip-172-31-21-16 kubelet[4419]: I0603 15:02:15.021274    4419 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-wwbcp_default(a62d7662-de49-4d29-816a-36f40fdfc1e1)"
Jun 03 15:02:15 ip-172-31-21-16 kubelet[4419]: I0603 15:02:15.789028    4419 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-5fndh_default"
Jun 03 15:02:15 ip-172-31-21-16 kubelet[4419]: I0603 15:02:15.886044    4419 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-wwbcp_default"
Jun 03 15:02:15 ip-172-31-21-16 kubelet[4419]: I0603 15:02:15.932206    4419 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-cqd8g_default"
Jun 03 15:02:15 ip-172-31-21-16 kubelet[4419]: I0603 15:02:15.942546    4419 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-mtmvz_default"
Jun 03 15:02:15 ip-172-31-21-16 kubelet[4419]: I0603 15:02:15.954711    4419 kuberuntime_manager.go:782] Determined the ip [100.96.3.10] for pod "acmeair-flightservice-76d48bfb54-5fndh_default(f8c53cb2-44fc-4576-abea-bbe62b5a9b10)" after sandbox changed
Jun 03 15:02:16 ip-172-31-21-16 kubelet[4419]: I0603 15:02:16.033505    4419 kuberuntime_manager.go:782] Determined the ip [100.96.3.11] for pod "acmeair-flightservice-76d48bfb54-wwbcp_default(a62d7662-de49-4d29-816a-36f40fdfc1e1)" after sandbox changed
Jun 03 15:02:16 ip-172-31-21-16 kubelet[4419]: I0603 15:02:16.054197    4419 kuberuntime_manager.go:782] Determined the ip [100.96.3.12] for pod "acmeair-flightservice-76d48bfb54-mtmvz_default(262539fc-5297-4263-91d0-db52b34d2109)" after sandbox changed
Jun 03 15:02:16 ip-172-31-21-16 kubelet[4419]: I0603 15:02:16.085056    4419 kuberuntime_manager.go:782] Determined the ip [100.96.3.13] for pod "acmeair-flightservice-76d48bfb54-cqd8g_default(0df77a12-2f41-4776-bedd-920280d8c859)" after sandbox changed
Jun 03 15:02:16 ip-172-31-21-16 kubelet[4419]: I0603 15:02:16.152528    4419 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-5fndh" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:02:16 ip-172-31-21-16 kubelet[4419]: I0603 15:02:16.305445    4419 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-wwbcp" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:02:16 ip-172-31-21-16 kubelet[4419]: I0603 15:02:16.347088    4419 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-cqd8g" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:02:16 ip-172-31-21-16 kubelet[4419]: I0603 15:02:16.378176    4419 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-mtmvz" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
