Jun 03 16:43:17 ip-172-31-18-31 kubelet[4424]: I0603 16:43:17.513519    4424 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-hmhmw_default"
Jun 03 16:43:17 ip-172-31-18-31 kubelet[4424]: I0603 16:43:17.593447    4424 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-hscn2_default"
Jun 03 16:43:17 ip-172-31-18-31 kubelet[4424]: I0603 16:43:17.675980    4424 kuberuntime_manager.go:782] Determined the ip [100.96.2.16] for pod "acmeair-flightservice-76d48bfb54-hmhmw_default(13fad385-d922-4b3e-9538-a6ba595b2c4d)" after sandbox changed
Jun 03 16:43:17 ip-172-31-18-31 kubelet[4424]: I0603 16:43:17.709552    4424 kuberuntime_manager.go:782] Determined the ip [100.96.2.17] for pod "acmeair-flightservice-76d48bfb54-hscn2_default(fc3f4c49-d819-4739-b1b7-f8f0e66ea2c9)" after sandbox changed
Jun 03 16:43:17 ip-172-31-18-31 kubelet[4424]: I0603 16:43:17.741088    4424 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-dmdrk_default"
Jun 03 16:43:17 ip-172-31-18-31 kubelet[4424]: I0603 16:43:17.836175    4424 kuberuntime_manager.go:782] Determined the ip [100.96.2.18] for pod "acmeair-flightservice-76d48bfb54-dmdrk_default(b86778b1-d586-47c9-b1f6-5f36c17d91ce)" after sandbox changed
Jun 03 16:43:17 ip-172-31-18-31 kubelet[4424]: I0603 16:43:17.840183    4424 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-tn558_default"
Jun 03 16:43:17 ip-172-31-18-31 kubelet[4424]: I0603 16:43:17.927028    4424 kuberuntime_manager.go:782] Determined the ip [100.96.2.19] for pod "acmeair-flightservice-76d48bfb54-tn558_default(47be61f3-8974-4558-93c8-22303fed0dfa)" after sandbox changed
Jun 03 16:43:17 ip-172-31-18-31 kubelet[4424]: I0603 16:43:17.951892    4424 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-hmhmw" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:43:17 ip-172-31-18-31 kubelet[4424]: I0603 16:43:17.979704    4424 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-hscn2" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:43:18 ip-172-31-18-31 kubelet[4424]: I0603 16:43:18.097916    4424 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-dmdrk" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:43:18 ip-172-31-18-31 kubelet[4424]: I0603 16:43:18.240635    4424 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-tn558" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:43:16 ip-172-31-24-242 kubelet[4430]: I0603 16:43:16.807125    4430 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-hjtlh_default(2675ed41-d9df-40dc-bd58-144730001a60)"
Jun 03 16:43:16 ip-172-31-24-242 kubelet[4430]: I0603 16:43:16.979287    4430 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-b2kfg_default(3e2cf0d5-1a84-48b0-9c3d-7158f2bd013c)"
Jun 03 16:43:17 ip-172-31-24-242 kubelet[4430]: I0603 16:43:17.007700    4430 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-zgm82_default(8c878e76-b649-4265-ac50-869655ec42df)"
Jun 03 16:43:19 ip-172-31-24-242 kubelet[4430]: I0603 16:43:19.040615    4430 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-hjtlh_default"
Jun 03 16:43:19 ip-172-31-24-242 kubelet[4430]: I0603 16:43:19.126474    4430 kuberuntime_manager.go:782] Determined the ip [100.96.1.18] for pod "acmeair-flightservice-76d48bfb54-hjtlh_default(2675ed41-d9df-40dc-bd58-144730001a60)" after sandbox changed
Jun 03 16:43:19 ip-172-31-24-242 kubelet[4430]: I0603 16:43:19.207385    4430 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-b2kfg_default"
Jun 03 16:43:19 ip-172-31-24-242 kubelet[4430]: I0603 16:43:19.209886    4430 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-zgm82_default"
Jun 03 16:43:19 ip-172-31-24-242 kubelet[4430]: I0603 16:43:19.322666    4430 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-hjtlh" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:43:19 ip-172-31-24-242 kubelet[4430]: I0603 16:43:19.334914    4430 kuberuntime_manager.go:782] Determined the ip [100.96.1.19] for pod "acmeair-flightservice-76d48bfb54-b2kfg_default(3e2cf0d5-1a84-48b0-9c3d-7158f2bd013c)" after sandbox changed
Jun 03 16:43:19 ip-172-31-24-242 kubelet[4430]: I0603 16:43:19.343579    4430 kuberuntime_manager.go:782] Determined the ip [100.96.1.20] for pod "acmeair-flightservice-76d48bfb54-zgm82_default(8c878e76-b649-4265-ac50-869655ec42df)" after sandbox changed
Jun 03 16:43:19 ip-172-31-24-242 kubelet[4430]: I0603 16:43:19.546502    4430 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-b2kfg" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:43:19 ip-172-31-24-242 kubelet[4430]: I0603 16:43:19.553910    4430 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-zgm82" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:43:16 ip-172-31-26-125 kubelet[4429]: I0603 16:43:16.833283    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-tvss8_default(268baa83-ff1d-4996-9502-3cff244a5011)"
Jun 03 16:43:16 ip-172-31-26-125 kubelet[4429]: I0603 16:43:16.879354    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-q9vrc_default(dcfd6216-113a-49d4-968e-ecfe46f861bf)"
Jun 03 16:43:17 ip-172-31-26-125 kubelet[4429]: I0603 16:43:17.038250    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-hfv97_default(85e509ad-6b12-443b-a50f-21d4eb14a091)"
Jun 03 16:43:17 ip-172-31-26-125 kubelet[4429]: I0603 16:43:17.493055    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-q9vrc_default"
Jun 03 16:43:17 ip-172-31-26-125 kubelet[4429]: I0603 16:43:17.510797    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-tvss8_default"
