Jun 03 12:00:49 ip-172-31-31-229 kubelet[4418]: I0603 12:00:49.581230    4418 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-hc8fd" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:00:49 ip-172-31-31-229 kubelet[4418]: I0603 12:00:49.648008    4418 kuberuntime_manager.go:782] Determined the ip [100.96.2.91] for pod "acmeair-flightservice-76d48bfb54-tfnk9_default(b0456dbf-bccc-4716-906f-b0349461e182)" after sandbox changed
Jun 03 12:00:49 ip-172-31-31-229 kubelet[4418]: I0603 12:00:49.867816    4418 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-tfnk9" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:03:08 ip-172-31-31-229 kubelet[4418]: I0603 12:03:08.533503    4418 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-g7tmw_default(922e923e-fc8f-4a62-b537-1749bd966d63)"
Jun 03 12:03:08 ip-172-31-31-229 kubelet[4418]: I0603 12:03:08.601917    4418 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-xt8rq_default(6303596a-fcef-44e0-b4d7-0a3edd1b427d)"
Jun 03 12:03:08 ip-172-31-31-229 kubelet[4418]: I0603 12:03:08.624248    4418 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-vwh6q_default(8f94422a-a6ef-478d-8507-af8350914881)"
Jun 03 12:03:09 ip-172-31-31-229 kubelet[4418]: I0603 12:03:09.397542    4418 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-g7tmw_default"
Jun 03 12:03:09 ip-172-31-31-229 kubelet[4418]: I0603 12:03:09.529877    4418 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-xt8rq_default"
Jun 03 12:03:09 ip-172-31-31-229 kubelet[4418]: I0603 12:03:09.540522    4418 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-vwh6q_default"
Jun 03 12:03:09 ip-172-31-31-229 kubelet[4418]: I0603 12:03:09.743039    4418 kuberuntime_manager.go:782] Determined the ip [100.96.2.12] for pod "acmeair-flightservice-76d48bfb54-g7tmw_default(922e923e-fc8f-4a62-b537-1749bd966d63)" after sandbox changed
Jun 03 12:03:10 ip-172-31-31-229 kubelet[4418]: I0603 12:03:10.070211    4418 kuberuntime_manager.go:782] Determined the ip [100.96.2.150] for pod "acmeair-flightservice-76d48bfb54-vwh6q_default(8f94422a-a6ef-478d-8507-af8350914881)" after sandbox changed
Jun 03 12:03:10 ip-172-31-31-229 kubelet[4418]: I0603 12:03:10.105813    4418 kuberuntime_manager.go:782] Determined the ip [100.96.2.183] for pod "acmeair-flightservice-76d48bfb54-xt8rq_default(6303596a-fcef-44e0-b4d7-0a3edd1b427d)" after sandbox changed
Jun 03 12:03:10 ip-172-31-31-229 kubelet[4418]: I0603 12:03:10.167900    4418 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-g7tmw" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:03:10 ip-172-31-31-229 kubelet[4418]: I0603 12:03:10.348371    4418 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-vwh6q" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:03:10 ip-172-31-31-229 kubelet[4418]: I0603 12:03:10.348396    4418 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-xt8rq" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:03:08 ip-172-31-26-136 kubelet[4410]: I0603 12:03:08.505990    4410 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-99mhx_default(be19aa83-8a2c-43d5-80a5-a25af751cd08)"
Jun 03 12:03:08 ip-172-31-26-136 kubelet[4410]: I0603 12:03:08.606299    4410 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-qd49r_default(9999c265-80a5-495b-ba2b-7a234a3260eb)"
Jun 03 12:03:08 ip-172-31-26-136 kubelet[4410]: I0603 12:03:08.607173    4410 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-pw9nm_default(9324f5f8-062f-4d03-a0c9-e151c954fec2)"
Jun 03 12:03:08 ip-172-31-26-136 kubelet[4410]: I0603 12:03:08.658038    4410 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-rnj6h_default(78ef7e57-d0f8-4d11-b816-6498e3658b0d)"
Jun 03 12:03:09 ip-172-31-26-136 kubelet[4410]: I0603 12:03:09.626639    4410 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-99mhx_default"
Jun 03 12:03:09 ip-172-31-26-136 kubelet[4410]: I0603 12:03:09.825514    4410 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-qd49r_default"
Jun 03 12:03:09 ip-172-31-26-136 kubelet[4410]: I0603 12:03:09.934836    4410 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-rnj6h_default"
Jun 03 12:03:10 ip-172-31-26-136 kubelet[4410]: I0603 12:03:10.050052    4410 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-pw9nm_default"
Jun 03 12:03:10 ip-172-31-26-136 kubelet[4410]: I0603 12:03:10.112777    4410 kuberuntime_manager.go:782] Determined the ip [100.96.3.143] for pod "acmeair-flightservice-76d48bfb54-99mhx_default(be19aa83-8a2c-43d5-80a5-a25af751cd08)" after sandbox changed
Jun 03 12:03:10 ip-172-31-26-136 kubelet[4410]: I0603 12:03:10.395715    4410 kuberuntime_manager.go:782] Determined the ip [100.96.3.146] for pod "acmeair-flightservice-76d48bfb54-qd49r_default(9999c265-80a5-495b-ba2b-7a234a3260eb)" after sandbox changed
Jun 03 12:03:10 ip-172-31-26-136 kubelet[4410]: I0603 12:03:10.453675    4410 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-99mhx" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:03:10 ip-172-31-26-136 kubelet[4410]: I0603 12:03:10.647482    4410 kuberuntime_manager.go:782] Determined the ip [100.96.3.106] for pod "acmeair-flightservice-76d48bfb54-rnj6h_default(78ef7e57-d0f8-4d11-b816-6498e3658b0d)" after sandbox changed
Jun 03 12:03:10 ip-172-31-26-136 kubelet[4410]: I0603 12:03:10.674439    4410 kuberuntime_manager.go:782] Determined the ip [100.96.3.12] for pod "acmeair-flightservice-76d48bfb54-pw9nm_default(9324f5f8-062f-4d03-a0c9-e151c954fec2)" after sandbox changed
Jun 03 12:03:10 ip-172-31-26-136 kubelet[4410]: I0603 12:03:10.739354    4410 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-qd49r" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:03:10 ip-172-31-26-136 kubelet[4410]: I0603 12:03:10.952160    4410 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-rnj6h" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:03:10 ip-172-31-26-136 kubelet[4410]: I0603 12:03:10.963389    4410 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-pw9nm" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:03:08 ip-172-31-26-112 kubelet[4426]: I0603 12:03:08.534205    4426 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-bg724_default(bec0ac5c-0b43-4948-9ae8-0fe4d2ce9754)"
Jun 03 12:03:08 ip-172-31-26-112 kubelet[4426]: I0603 12:03:08.567243    4426 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-p9csw_default(40696bae-54a2-4ab7-8d30-3f0813e4e595)"
Jun 03 12:03:08 ip-172-31-26-112 kubelet[4426]: I0603 12:03:08.625095    4426 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-255dk_default(7298e722-4c29-4ced-9839-ef75b69863e7)"
Jun 03 12:03:09 ip-172-31-26-112 kubelet[4426]: I0603 12:03:09.839787    4426 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-p9csw_default"
Jun 03 12:03:09 ip-172-31-26-112 kubelet[4426]: I0603 12:03:09.891211    4426 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-bg724_default"
Jun 03 12:03:09 ip-172-31-26-112 kubelet[4426]: I0603 12:03:09.947040    4426 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-255dk_default"
Jun 03 12:03:10 ip-172-31-26-112 kubelet[4426]: I0603 12:03:10.300746    4426 kuberuntime_manager.go:782] Determined the ip [100.96.1.227] for pod "acmeair-flightservice-76d48bfb54-p9csw_default(40696bae-54a2-4ab7-8d30-3f0813e4e595)" after sandbox changed
Jun 03 12:03:10 ip-172-31-26-112 kubelet[4426]: I0603 12:03:10.332396    4426 kuberuntime_manager.go:782] Determined the ip [100.96.1.248] for pod "acmeair-flightservice-76d48bfb54-bg724_default(bec0ac5c-0b43-4948-9ae8-0fe4d2ce9754)" after sandbox changed
Jun 03 12:03:10 ip-172-31-26-112 kubelet[4426]: I0603 12:03:10.563154    4426 kuberuntime_manager.go:782] Determined the ip [100.96.1.47] for pod "acmeair-flightservice-76d48bfb54-255dk_default(7298e722-4c29-4ced-9839-ef75b69863e7)" after sandbox changed
Jun 03 12:03:10 ip-172-31-26-112 kubelet[4426]: I0603 12:03:10.606313    4426 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-bg724" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:03:10 ip-172-31-26-112 kubelet[4426]: I0603 12:03:10.614482    4426 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-p9csw" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:03:10 ip-172-31-26-112 kubelet[4426]: I0603 12:03:10.776573    4426 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-255dk" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:05:34 ip-172-31-26-112 kubelet[4426]: I0603 12:05:34.790454    4426 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-7md98_default(6ee6140a-58a7-495e-8dc4-14ced8d8c318)"
Jun 03 12:05:34 ip-172-31-26-112 kubelet[4426]: I0603 12:05:34.848222    4426 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-57zjt_default(d32beffa-f25b-420a-a44d-30dde505bc51)"
Jun 03 12:05:34 ip-172-31-26-112 kubelet[4426]: I0603 12:05:34.922362    4426 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-ztw82_default(c5c014d4-5343-43a7-9c05-1aecfcd905ae)"
