Jun 03 14:15:53 ip-172-31-24-94 kubelet[4615]: I0603 14:15:53.007501    4615 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-wrrvg_default(bc528f0e-7a6d-42dc-987e-664ea6311216)"
Jun 03 14:15:53 ip-172-31-24-94 kubelet[4615]: I0603 14:15:53.113733    4615 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-58pbz_default(b5fef87d-b08e-43d4-a60d-26038a8cacf9)"
Jun 03 14:15:53 ip-172-31-24-94 kubelet[4615]: I0603 14:15:53.123826    4615 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-hgv7g_default(ae34160e-4172-4994-9e6c-ec7d2e2d0e24)"
Jun 03 14:15:53 ip-172-31-24-94 kubelet[4615]: I0603 14:15:53.160117    4615 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-72hpd_default(6fe0aadf-6da5-4c20-af6a-a797091b2908)"
Jun 03 14:15:53 ip-172-31-24-94 kubelet[4615]: I0603 14:15:53.932107    4615 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-wrrvg_default"
Jun 03 14:15:53 ip-172-31-24-94 kubelet[4615]: I0603 14:15:53.968934    4615 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-58pbz_default"
Jun 03 14:15:53 ip-172-31-24-94 kubelet[4615]: I0603 14:15:53.977483    4615 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-72hpd_default"
Jun 03 14:15:54 ip-172-31-24-94 kubelet[4615]: I0603 14:15:54.035096    4615 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-hgv7g_default"
Jun 03 14:15:54 ip-172-31-24-94 kubelet[4615]: I0603 14:15:54.273574    4615 kuberuntime_manager.go:782] Determined the ip [100.124.202.74] for pod "acmeair-flightservice-76d48bfb54-wrrvg_default(bc528f0e-7a6d-42dc-987e-664ea6311216)" after sandbox changed
Jun 03 14:15:54 ip-172-31-24-94 kubelet[4615]: I0603 14:15:54.402138    4615 kuberuntime_manager.go:782] Determined the ip [100.124.202.75] for pod "acmeair-flightservice-76d48bfb54-58pbz_default(b5fef87d-b08e-43d4-a60d-26038a8cacf9)" after sandbox changed
Jun 03 14:15:54 ip-172-31-24-94 kubelet[4615]: I0603 14:15:54.507970    4615 kuberuntime_manager.go:782] Determined the ip [100.124.202.76] for pod "acmeair-flightservice-76d48bfb54-72hpd_default(6fe0aadf-6da5-4c20-af6a-a797091b2908)" after sandbox changed
Jun 03 14:15:54 ip-172-31-24-94 kubelet[4615]: I0603 14:15:54.536759    4615 kuberuntime_manager.go:782] Determined the ip [100.124.202.77] for pod "acmeair-flightservice-76d48bfb54-hgv7g_default(ae34160e-4172-4994-9e6c-ec7d2e2d0e24)" after sandbox changed
Jun 03 14:15:54 ip-172-31-24-94 kubelet[4615]: I0603 14:15:54.561456    4615 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-wrrvg" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:15:54 ip-172-31-24-94 kubelet[4615]: I0603 14:15:54.697139    4615 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-58pbz" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:15:54 ip-172-31-24-94 kubelet[4615]: I0603 14:15:54.823703    4615 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-72hpd" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:15:54 ip-172-31-24-94 kubelet[4615]: I0603 14:15:54.855374    4615 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-hgv7g" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:15:53 ip-172-31-25-1 kubelet[4618]: I0603 14:15:53.022627    4618 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-899z9_default(b3f92206-a2b1-4036-a896-1d6d31fc487c)"
Jun 03 14:15:53 ip-172-31-25-1 kubelet[4618]: I0603 14:15:53.104164    4618 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-vnnfp_default(cea44592-9c71-4b91-9ddc-e88edf69b80e)"
Jun 03 14:15:53 ip-172-31-25-1 kubelet[4618]: I0603 14:15:53.146936    4618 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-7cm4g_default(45ec3658-3ccd-499b-95c6-051fd8597e47)"
